unique_id,supplier,location,day,time,measurement,today,value,units
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-17,38.35,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-18,38.54,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-19,38.12,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-20,40.76,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-21,37.92,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-22,47.25,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-23,56.49,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-24,38.15,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-25,40.17,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-26,39.92,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-27,39.59,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-28,40.5,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-29,49.17,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-30,51.08,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-07-31,59.52,MGD
