agency,site,date_time,flow,comments
USGS,goose,2017-08-22T00:00:00Z,106,
USGS,goose,2017-08-23T00:00:00Z,95.5,
USGS,goose,2017-08-24T00:00:00Z,84,
USGS,goose,2017-08-25T00:00:00Z,82.6,
USGS,goose,2017-08-26T00:00:00Z,77.6,
USGS,goose,2017-08-27T00:00:00Z,69.9,
USGS,goose,2017-08-28T00:00:00Z,64.3,
USGS,goose,2017-08-29T00:00:00Z,74.6,
USGS,goose,2017-08-30T00:00:00Z,128,
USGS,goose,2017-08-31T00:00:00Z,105,
USGS,goose,2017-09-01T00:00:00Z,80.7,
USGS,goose,2017-09-02T00:00:00Z,78,
USGS,goose,2017-09-03T00:00:00Z,97.2,
USGS,goose,2017-09-04T00:00:00Z,90.3,
USGS,goose,2017-09-05T00:00:00Z,96.7,
USGS,goose,2017-09-06T00:00:00Z,435,
USGS,goose,2017-09-07T00:00:00Z,403,
USGS,goose,2017-09-08T00:00:00Z,220,
USGS,goose,2017-09-09T00:00:00Z,148,
USGS,goose,2017-09-10T00:00:00Z,117,
USGS,goose,2017-09-11T00:00:00Z,102,
USGS,goose,2017-09-12T00:00:00Z,95.3,
USGS,goose,2017-09-13T00:00:00Z,94.6,
USGS,goose,2017-09-14T00:00:00Z,96.5,
USGS,goose,2017-09-15T00:00:00Z,94.4,
USGS,goose,2017-09-16T00:00:00Z,92,
USGS,goose,2017-09-17T00:00:00Z,79.4,
USGS,goose,2017-09-18T00:00:00Z,72.1,
USGS,goose,2017-09-19T00:00:00Z,68.9,
USGS,goose,2017-09-20T00:00:00Z,64.8,
USGS,goose,2017-09-21T00:00:00Z,60.7,
USGS,goose,2017-09-22T00:00:00Z,54.9,
USGS,goose,2017-09-23T00:00:00Z,52.7,
USGS,goose,2017-09-24T00:00:00Z,50.5,
USGS,goose,2017-09-25T00:00:00Z,48.3,
USGS,goose,2017-09-26T00:00:00Z,47.2,
USGS,goose,2017-09-27T00:00:00Z,44.8,
USGS,goose,2017-09-28T00:00:00Z,42,
USGS,goose,2017-09-29T00:00:00Z,37.8,
USGS,goose,2017-09-30T00:00:00Z,36.8,
USGS,goose,2017-10-01T00:00:00Z,35.1,
USGS,goose,2017-10-02T00:00:00Z,33.7,
USGS,goose,2017-10-03T00:00:00Z,34.3,
USGS,goose,2017-10-04T00:00:00Z,42.1,
USGS,goose,2017-10-05T00:00:00Z,44.2,
USGS,goose,2017-10-06T00:00:00Z,43.7,
USGS,goose,2017-10-07T00:00:00Z,43.6,
USGS,goose,2017-10-08T00:00:00Z,46,
USGS,goose,2017-10-09T00:00:00Z,67,
USGS,goose,2017-10-10T00:00:00Z,122,
USGS,goose,2017-10-11T00:00:00Z,97,
USGS,goose,2017-10-12T00:00:00Z,174,
USGS,goose,2017-10-13T00:00:00Z,144,
USGS,goose,2017-10-14T00:00:00Z,87.3,
USGS,goose,2017-10-15T00:00:00Z,70.6,
USGS,goose,2017-10-16T00:00:00Z,60,
USGS,goose,2017-10-17T00:00:00Z,53.8,
USGS,goose,2017-10-18T00:00:00Z,49.5,
USGS,goose,2017-10-19T00:00:00Z,46.8,
